text,label
stop bringing weird niggers into my mentions,"[1, 0, 0]"
we dont love these hoes ,"[1, 0, 0]"
if yo girl cant have homeboys you a ol weak bitch ass nigga,"[1, 0, 0]"
i think worst advice i gave you was dont be a pussy and speed up lol,"[1, 0, 0]"
quote this tweet with your favorite animalpussy,"[1, 0, 0]"
i hate when strippers tell you theyre dancers hoe ballet dancers dont pop their pussy to beethoven you a stripper,"[1, 0, 0]"
andrewbryant poff has double vision after beers poff double pussy smh,"[1, 0, 0]"
when bitches twerk on the computer me in ya in ya damn ,"[1, 0, 0]"
prince this is art nobody takin his bitch,"[1, 0, 0]"
of welfaregovernment aid is claimed by white people so yall black slander is trash now,"[0, 0, 1]"
these bitches dont care they just play that role,"[1, 0, 0]"
it took a while for you to find me but i was hiding in the lime treedis bitch in da wrong tree bro,"[1, 0, 0]"
drakes new shoes that will be released by nikejordan yes theres glitter on the shoes dudes a fag,"[0, 1, 0]"
inna di ghetto you alone lmaoo,"[0, 0, 1]"
hoes austin teach us austini teach u how to get curved thats all i know,"[0, 0, 1]"
bitches cant cook but know how to suck dick so to the ones that can do both,"[1, 0, 0]"
fat hoes get chose lol,"[1, 0, 0]"
hoesaintloyal well theyre hoesno one expects them to be loyal,"[1, 0, 0]"
ol bitch ass ,"[1, 0, 0]"
bruh im tired of niggas retweetin miley cyrus naked that bitch aint no types of bad lmaooo,"[1, 0, 0]"
just because tony romo at the mavs game dont mean he still not a bitch lmao fuk them cowgirls lol bitch fuck you,"[1, 0, 0]"
holy shit freddie highmore was in charlie and the chocolate factory me rolls on the floor laughing,"[1, 0, 0]"
i dont want to have sex with my gf because i feel like im using her anonymous whata faggot,"[1, 0, 0]"
@ one of your followers with this @ somebody bitch if you dont,"[1, 0, 0]"
if ya bitch always bitching clearly she care or just an annoying bitch,"[1, 0, 0]"
these catfish hoes thinkin they slick but niggas catching on ,"[1, 0, 0]"
cant worry about a bitch that aint worried bout me real,"[1, 0, 0]"
side hoes are for insecure niggas that cant handle a real one,"[1, 0, 0]"
lmao this bitch come scooting in the tent like she about to fuck some shit up ,"[1, 0, 0]"
my cousin said he share hoes with his brothers he said sharing is caring and he love his brothers ,"[1, 0, 0]"
im hungry but ionn wanna spend my money on foodbroke hoe problems ,"[1, 0, 0]"
dese hoes be lyin to all of us nigga,"[1, 0, 0]"
oh yeah fuck that bitch,"[1, 0, 0]"
eli manning just threw his nflleading th interception of the season lmao trash,"[0, 0, 1]"
usc senior rb anthony brown calls head coach steve sarkisian a racist and quits team hes a bitch,"[0, 0, 1]"
guess what i also have zero time for your mansplaining adios stfu pussy,"[1, 0, 0]"
chilling sexy scally lad,"[0, 0, 1]"
i aint sharing no bitch if you mines you mines ,"[1, 0, 0]"
money only impress the simple broke bitches,"[1, 0, 0]"
pisces will never be anybodys bitch they dont let people control or change them rigghhht,"[1, 0, 0]"
tuku ho idk blah blah blah ,"[0, 0, 1]"
im not mad cuh hahaha suure tuku ho ita ,"[0, 0, 1]"
these hoes is crazy,"[1, 0, 0]"
you aint ever gonna be a slice bitch kevin hart ,"[1, 0, 0]"
oomf so fuckin fine tho dam @ her dont be no bitch,"[1, 0, 0]"
i wonder if the girl that gave head to boys for a drink in magaluf has twitter she probly sends nudes for fags,"[1, 0, 0]"
newsatquestions yeah bitch yeah bitch call me _______ a maybe b steveo c later d jesse pinkman @machinegunkelly,"[1, 0, 0]"
hickies in between her thighs right by her pussy gtgtgt its only right,"[1, 0, 0]"
would you still love me when im no longer young and beautiful no ugly monkey ass,"[1, 0, 0]"
yall come through the frontbitch i aint coming,"[1, 0, 0]"
faggot bitch ,"[1, 0, 0]"
yea im on my ipad i dont work this friday lets ball this faggot upwork ,"[1, 0, 0]"
this scally lad would get it,"[0, 0, 1]"
gerryshalloweenparty halloween was yesterday stupid nigger,"[0, 1, 0]"
chrus still supahot tho walks up to teacher with test drops test in that bitch fohead ,"[1, 0, 0]"
i love eating pussy lol i never get full lol i can eat that shit forever lol and ever,"[1, 0, 0]"
no slushes hoes nasty anyway famthem hoes taste like meds,"[1, 0, 0]"
no slushes hoes nasty anyway fam,"[1, 0, 0]"
bobby bitchbybe getting me live as fuck hell yea i play that hoe before my workout,"[1, 0, 0]"
yo bitch is gucci manemy bitch a stoner ,"[1, 0, 0]"
i can ride your bitch with no handle bars,"[1, 0, 0]"
and if you aint a hoe get up out my traphoussseeeee,"[1, 0, 0]"
sad tv character deaths were still bitter over stark was the man,"[0, 0, 1]"
these harbor bitches are all party bus hoes lol all,"[1, 0, 0]"
pussy love it,"[1, 0, 0]"
ultraviolence video its coming you little bitch mtvhottest lana del rey bitchy promo,"[1, 0, 0]"
on my way to fuck your bitch lmfao kittycopter,"[1, 0, 0]"
a smuggler explains how he helped fighters along the jihadi highway ,"[0, 0, 1]"
aww their avis look so cute together do i gotta get ike avi on this bitch ,"[1, 0, 0]"
its simple dont be a hoedont worry about being exposed fight mewhy ,"[1, 0, 0]"
whys this bitch boosting herself her size isnt exactly the most healthy tho,"[1, 0, 0]"
bet not be no bitches kim bye,"[1, 0, 0]"
damn near gotta protect my tweets stalkers being annoying you got that dope dick drive these bitches loco,"[1, 0, 0]"
im making marack my girlfriendaye b you pullin hoes just like o taught you,"[1, 0, 0]"
bruno fag boy you love me,"[1, 0, 0]"
i must be a bitch you are sike naw this why we always beefing ,"[1, 0, 0]"
down yankees look to rally in the bottom of the th rallycap,"[0, 0, 1]"
dont take advantage of a nice person@ hoes@ everyjuan,"[1, 0, 0]"
happy birthday bitch niggathanks pal,"[1, 0, 0]"
sad knowing that most hoes wont fuck with you bc you aint got stacks wait till friday,"[1, 0, 0]"
cinco shit harder fucc niggayee but you fucc wit rich homie cuz dats ya homeboy fucc nicca,"[1, 0, 0]"
ewww i said that last sundayas in the last sunday i was there read it again nigs,"[1, 0, 0]"
i only punch real niggas in the face cause a pussy nigga is gonna punch me right back strong mush or shake,"[1, 0, 0]"
my pussy still fresh lt something stank girls say,"[1, 0, 0]"
ass slapping is one the greatest things haha i slapped a girl on the ass she got mad i aint get pussy for a week,"[1, 0, 0]"
yeah texans are so much better you fucking retard i see that youre mad about this,"[1, 0, 0]"
nd wtf is up with dark bitches with blonde please have several seats hoe looking like blackampmilds out here,"[1, 0, 0]"
theres a lane some bitches need to stay in the left n get right the fuck outta our face ,"[1, 0, 0]"
i hate when boys deny that they have bitches smh,"[1, 0, 0]"
ya nigs out there still saying yall dont eat butt with a straight face,"[1, 0, 0]"
im a boss ass bitch that needs to sit in a corner,"[1, 0, 0]"
hes a hoe i cant,"[1, 0, 0]"
me and paul thinkin bout gettin rentals for da weekend oooh shit bitches betta stay out da streets,"[1, 0, 0]"
bitches hold they nigga down when he get locked up but if a nigga go to college or the military its a different story ,"[1, 0, 0]"
why do my friends hate me because you a ratchet hoe,"[1, 0, 0]"
no love for these fuck niggas hoes,"[1, 0, 0]"
hot meat sexy as fuck scally lad i would love to meet him and his trainers,"[1, 0, 0]"
sniff perved up scally lad fuck yeah,"[1, 0, 0]"
these bitches love sosa,"[1, 0, 0]"
i legit watched it for about or seconds so did i wtf prob cause were retarded smh,"[1, 0, 0]"
what should i name my cat ideas mr pussy,"[1, 0, 0]"
woof woof sexy thug boy scally,"[1, 0, 0]"
u see the damn phone ringing when you married bitches makes demands you havent called me,"[1, 0, 0]"
tevin is my favorite sophomore i think hes so funny hes really not lmaoo hes a little hoe,"[1, 0, 0]"
sex positions this what u call fucking the soul outta bitch ,"[1, 0, 0]"
is bored supposed to be cute you faggot sometimes,"[0, 1, 0]"
one mans trash is another mans treasure ,"[0, 0, 1]"
i dont got no type bad bitches is the only thing i like iongotnotype,"[1, 0, 0]"
lassen cc the coach wants me i feel it youll get more my nig no doubt,"[0, 1, 0]"
god teeth gold chain white bitches cocaine,"[1, 0, 0]"
its me hoe its me hoe shhhhh,"[1, 0, 0]"
in dc we call them rollers in chiraq we call them thots all across america they have been known as a hoe,"[1, 0, 0]"
im gonna miss that bitch of a bus driverno you wont dont lie,"[1, 0, 0]"
hate when bitches try and put you in the friendzone bitch im tryin to score put me in the endzone on my soul,"[1, 0, 0]"
ashley young has tried to deny that bird s landed in his mouth gt hahaha,"[0, 0, 1]"
yall both gimped up aint tht a bitch huh lol,"[1, 0, 0]"
take me for a ride woof woof,"[0, 0, 1]"
oh my god i love victoria mitchell all my bitches love me,"[1, 0, 0]"
that long distance shit wack i knew the bitch was cheating uh oh,"[1, 0, 0]"
hes doing it right no bitches smh,"[1, 0, 0]"
they ban dat pussy for life amp he gotta pay millon dollar fine,"[1, 0, 0]"
roses are red and violets are blue and niggers are black you know thats true @dylan,"[1, 0, 0]"
sitting on my window sill window open bird tries to fly in smacked it protecttheanimals @peta,"[0, 0, 1]"
but a nigga gon be a nigga be a nigga you sound fuckin retarded,"[1, 0, 0]"
a video an entire media will likely mock i am such a crybaby,"[0, 0, 1]"
im not even shy stfu kikis mom hi angelique angelique smiles dips cracker in soup,"[1, 0, 0]"
tim tebow got cut from every team he was on in the nfl and he already got more hoes than me in starkville smh ,"[1, 0, 0]"
karma is a bitch damn godprotectshisangels sips tea,"[1, 0, 0]"
fuckin hot gym pussy fuck yeah,"[1, 0, 0]"
jihadi patron hajjaj alajmi is arrested at kuwait airport ,"[0, 0, 1]"
you can call me fireman cause i turn the hoes on,"[1, 0, 0]"
i could never have a bby by a lil dick thts y i got a abortion by the last bitch oh my god,"[1, 0, 0]"
watch women try to argue with me like they have a dick and actually fucked some pussy before i hate when bitches do that,"[1, 0, 0]"
and smoke weed in public fuck cops man do what you wanna do they dont own you run if they come are you retarded,"[1, 0, 0]"
tweety bird tho ,"[0, 0, 1]"
my pussy sweet like watermelon thotermelon,"[1, 0, 0]"
when twitter rappers dm me their trash links ,"[0, 0, 1]"
loud bitches annoy me,"[1, 0, 0]"
eventually every bitch turns into that hoe truuu,"[1, 0, 0]"
i swear if oomf try talking to me tomorrow @pussy,"[1, 0, 0]"
you bitches be pretending to be tf crazy you aint never lied,"[1, 0, 0]"
k bye hoe um bye ,"[1, 0, 0]"
jackies a retard blondeproblems at least i can make a grilled cheese,"[0, 1, 0]"
ima keep on giving these pussy ass niggas ah reason to hate ,"[1, 0, 0]"
photo he is in sole heaven,"[0, 0, 1]"
stacey dash won baddest bitch evaaaa,"[0, 1, 0]"
side bitch sunday ,"[1, 0, 0]"
facts what baldheaded bitch made this shit lmao ,"[1, 0, 0]"
fuck wit us and then we tweakin hoe shmurda,"[1, 0, 0]"
we actin like its the th dayspook,"[0, 0, 1]"
ill break that lil bitch neck and wont even feel sorry about it savage,"[1, 0, 0]"
this is so fucking hot scally sneakersex sockfetish sniff trainersex love me some kinky scallies,"[1, 0, 0]"
yall dumb ass niggas be so pressed to have hoes yall weak as fuck as fuck weed over hoes oreos too,"[1, 0, 0]"
i can turn yo bitch into a eaterrrrrrrrr,"[1, 0, 0]"
i dont trust dese hoes nikki told st where i stay at all my fans screen shot asap we finna come to chiraq and shoot sumn,"[1, 0, 0]"
aye yall ima tryout for the bowling team frfr tryouts passed tho no theres two more retard,"[1, 0, 0]"
now u got what u want bitch enjoy it now this is a crazy party i would love to attend,"[1, 0, 0]"
colored contacts in your eyes blinders on mine cause i cant see you at all lmao,"[0, 0, 1]"
factsonly the dudes with hoes say they dont got hoes @j_austin,"[1, 0, 0]"
im rea start smacking bitches period bluffin at its best,"[1, 0, 0]"
lifes a bitch and then you die thats why we get high cause you neva know when youre gonna go my sister is perfect ,"[1, 0, 0]"
one of us is on drugs and its me but youre still wronghahahahahahah im a bitch sometimes ,"[1, 0, 0]"
im feeling pretty fuckin ghetto smh,"[1, 0, 0]"
swears im man easily easily behind austin nip,"[0, 0, 1]"
this is a true ride or die bitch what the fuck hahahahah,"[1, 0, 0]"
hgwells and charlie chaplin history photography,"[0, 0, 1]"
all i see is brunos bitch ass on my twitter now wtf brunos all that she sees drake voice,"[1, 0, 0]"
im about to cool faggot chill tf is cool nigga,"[1, 0, 0]"
im so sure bitch frfr tf,"[1, 0, 0]"
twitter is not a source of news broadcast you fucking retards it is when nbc abc cnn fox etc are all keeping quiet,"[1, 0, 0]"
got a couple bitches saying they know me but ima let the money talk for me and im like wwyd,"[1, 0, 0]"
grudges are for weirdosand bitches,"[1, 0, 0]"
i told mariam to but cigarettes for her birthday you also called me trash rn,"[0, 0, 1]"
brownies tonight what kind,"[0, 0, 1]"
no text back i dont give a fuck ill text another bitch damn someone is hurt lol,"[1, 0, 0]"
ummmmmm okay you got hoes from left to right do yah thang,"[1, 0, 0]"
using ymxb to find the slope of that ass,"[1, 0, 0]"
fit lads nice gear these scally lads n trainers would get it,"[0, 0, 1]"
hell yeah bro fuck yeah sexy scally lad in hot gear,"[1, 0, 0]"
helping out a mate i love scally play fuck yeah,"[1, 0, 0]"
lads being lads fuck yeah i love scally lad action hot trainers too,"[1, 0, 0]"
next year bitches is gonna be like you gotta promise you wont expose me ,"[1, 0, 0]"
so hotlick it bitch fuck yeah eat that trainer u dirty fucker,"[1, 0, 0]"
yall think celebrity pussy different from the locals yeah meghan goods is,"[1, 0, 0]"
i saw an ajumma walk out in the beginning saying wow this is so trash that i cant even listen to it lmaoo,"[0, 0, 1]"
